timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 21:56:03.519, 1, 16296, 97887, 70, 200.33, 47
2026/06/28 21:56:04.020, 0, 88855, 97887, 100, 377.83, 58
2026/06/28 21:56:04.020, 1, 16296, 97887, 32, 187.01, 44
2026/06/28 21:56:04.520, 0, 88855, 97887, 100, 373.06, 58
2026/06/28 21:56:04.520, 1, 16296, 97887, 40, 162.68, 47
2026/06/28 21:56:05.020, 0, 88855, 97887, 100, 368.86, 58
2026/06/28 21:56:05.020, 1, 16296, 97887, 63, 149.13, 45
2026/06/28 21:56:05.520, 0, 88855, 97887, 100, 366.80, 58
2026/06/28 21:56:05.520, 1, 16296, 97887, 0, 148.62, 43
2026/06/28 21:56:06.020, 0, 88855, 97887, 100, 366.29, 58
2026/06/28 21:56:06.021, 1, 16296, 97887, 0, 153.99, 43
2026/06/28 21:56:06.521, 0, 88855, 97887, 100, 363.31, 58
2026/06/28 21:56:06.521, 1, 16296, 97887, 28, 162.84, 44
2026/06/28 21:56:07.021, 0, 88855, 97887, 100, 363.74, 58
2026/06/28 21:56:07.021, 1, 16296, 97887, 41, 176.25, 45
2026/06/28 21:56:07.521, 0, 88855, 97887, 100, 369.03, 58
2026/06/28 21:56:07.521, 1, 16296, 97887, 9, 161.43, 47
2026/06/28 21:56:08.021, 0, 88855, 97887, 100, 368.68, 59
2026/06/28 21:56:08.021, 1, 16296, 97887, 0, 145.07, 43
2026/06/28 21:56:08.522, 0, 88855, 97887, 100, 364.29, 58
2026/06/28 21:56:08.522, 1, 16296, 97887, 34, 138.70, 45
2026/06/28 21:56:09.022, 0, 88855, 97887, 100, 359.02, 58
2026/06/28 21:56:09.022, 1, 16296, 97887, 28, 147.65, 46
2026/06/28 21:56:09.522, 0, 88855, 97887, 100, 354.04, 58
2026/06/28 21:56:09.522, 1, 16296, 97887, 0, 119.67, 43
2026/06/28 21:56:10.022, 0, 88855, 97887, 100, 352.98, 58
2026/06/28 21:56:10.022, 1, 16296, 97887, 0, 151.87, 43
2026/06/28 21:56:10.522, 0, 88855, 97887, 100, 353.21, 58
2026/06/28 21:56:10.523, 1, 16296, 97887, 0, 160.37, 43
2026/06/28 21:56:11.023, 0, 88855, 97887, 100, 352.18, 58
2026/06/28 21:56:11.023, 1, 16296, 97887, 80, 178.83, 46
2026/06/28 21:56:11.523, 0, 88855, 97887, 100, 348.85, 58
2026/06/28 21:56:11.523, 1, 16296, 97887, 0, 187.67, 43
2026/06/28 21:56:12.023, 0, 88855, 97887, 100, 345.52, 58
2026/06/28 21:56:12.023, 1, 16296, 97887, 0, 158.62, 43
2026/06/28 21:56:12.523, 0, 88855, 97887, 100, 342.14, 57
2026/06/28 21:56:12.524, 1, 16296, 97887, 72, 147.54, 45
2026/06/28 21:56:13.024, 0, 88855, 97887, 100, 340.64, 57
2026/06/28 21:56:13.024, 1, 16296, 97887, 0, 146.63, 43
2026/06/28 21:56:13.524, 0, 88855, 97887, 100, 338.68, 57
2026/06/28 21:56:13.524, 1, 16296, 97887, 0, 121.73, 43
2026/06/28 21:56:14.024, 0, 88855, 97887, 100, 336.09, 57
2026/06/28 21:56:14.024, 1, 16296, 97887, 72, 147.01, 47
2026/06/28 21:56:14.524, 0, 88855, 97887, 100, 333.21, 57
2026/06/28 21:56:14.524, 1, 16296, 97887, 75, 216.76, 47
2026/06/28 21:56:15.025, 0, 88855, 97887, 100, 329.66, 57
2026/06/28 21:56:15.025, 1, 16296, 97887, 73, 253.27, 46
2026/06/28 21:56:15.525, 0, 88855, 97887, 100, 315.26, 56
2026/06/28 21:56:15.525, 1, 16296, 97887, 76, 272.51, 47
2026/06/28 21:56:16.025, 0, 88855, 97887, 100, 299.71, 56
2026/06/28 21:56:16.025, 1, 16296, 97887, 60, 265.66, 47
2026/06/28 21:56:16.525, 0, 88855, 97887, 100, 293.99, 56
2026/06/28 21:56:16.525, 1, 16296, 97887, 78, 276.32, 49
2026/06/28 21:56:17.025, 0, 88855, 97887, 100, 301.23, 57
2026/06/28 21:56:17.026, 1, 16296, 97887, 82, 315.02, 47
2026/06/28 21:56:17.526, 0, 88855, 97887, 100, 303.89, 55
2026/06/28 21:56:17.526, 1, 16296, 97887, 66, 284.59, 47
2026/06/28 21:56:18.026, 0, 88855, 97887, 0, 224.46, 52
2026/06/28 21:56:18.026, 1, 16296, 97887, 62, 274.25, 48
2026/06/28 21:56:18.526, 0, 88855, 97887, 0, 124.13, 51
2026/06/28 21:56:18.526, 1, 16296, 97887, 73, 289.14, 49
2026/06/28 21:56:19.026, 0, 88855, 97887, 0, 95.01, 51
2026/06/28 21:56:19.026, 1, 16296, 97887, 71, 287.17, 50
2026/06/28 21:56:19.526, 0, 88855, 97887, 0, 95.01, 51
2026/06/28 21:56:19.526, 1, 16296, 97887, 71, 255.63, 49
2026/06/28 21:56:20.026, 0, 88855, 97887, 0, 91.69, 50
2026/06/28 21:56:20.027, 1, 16296, 97887, 73, 279.75, 51
2026/06/28 21:56:20.527, 0, 88855, 97887, 0, 91.69, 50
2026/06/28 21:56:20.527, 1, 16296, 97887, 66, 284.62, 52
2026/06/28 21:56:21.027, 0, 88855, 97887, 86, 113.01, 55
2026/06/28 21:56:21.027, 1, 16296, 97887, 0, 199.34, 45
2026/06/28 21:56:21.527, 0, 88855, 97887, 88, 169.90, 56
2026/06/28 21:56:21.527, 1, 16296, 97887, 0, 114.74, 44
2026/06/28 21:56:22.027, 0, 88855, 97887, 87, 334.91, 57
2026/06/28 21:56:22.027, 1, 16296, 97887, 0, 114.74, 44
2026/06/28 21:56:22.527, 0, 88855, 97887, 90, 337.72, 57
2026/06/28 21:56:22.527, 1, 16296, 97887, 0, 96.54, 44
2026/06/28 21:56:23.028, 0, 88855, 97887, 93, 325.92, 56
2026/06/28 21:56:23.028, 1, 16296, 97887, 0, 100.53, 44
2026/06/28 21:56:23.528, 0, 88855, 97887, 99, 321.72, 55
2026/06/28 21:56:23.528, 1, 16296, 97887, 1, 103.74, 44
2026/06/28 21:56:24.028, 0, 88855, 97887, 100, 323.50, 56
2026/06/28 21:56:24.028, 1, 16296, 97887, 25, 100.88, 44
2026/06/28 21:56:24.528, 0, 88855, 97887, 100, 326.33, 56
2026/06/28 21:56:24.528, 1, 16296, 97887, 10, 105.51, 44
2026/06/28 21:56:25.029, 0, 88855, 97887, 100, 330.49, 56
2026/06/28 21:56:25.029, 1, 16296, 97887, 20, 118.80, 44
2026/06/28 21:56:25.529, 0, 88855, 97887, 100, 337.30, 57
2026/06/28 21:56:25.529, 1, 16296, 97887, 26, 114.92, 45
2026/06/28 21:56:26.029, 0, 88855, 97887, 90, 340.95, 56
2026/06/28 21:56:26.029, 1, 16296, 97887, 26, 112.05, 44
2026/06/28 21:56:26.529, 0, 88855, 97887, 88, 341.19, 56
2026/06/28 21:56:26.529, 1, 16296, 97887, 0, 110.66, 44
2026/06/28 21:56:27.029, 0, 88855, 97887, 90, 344.38, 56
2026/06/28 21:56:27.029, 1, 16296, 97887, 25, 127.25, 43
2026/06/28 21:56:27.529, 0, 88855, 97887, 85, 340.29, 58
2026/06/28 21:56:27.530, 1, 16296, 97887, 2, 112.80, 43
2026/06/28 21:56:28.030, 0, 88855, 97887, 100, 352.03, 58
2026/06/28 21:56:28.030, 1, 16296, 97887, 45, 118.41, 44
2026/06/28 21:56:28.530, 0, 88855, 97887, 89, 361.52, 57
2026/06/28 21:56:28.530, 1, 16296, 97887, 64, 174.18, 48
2026/06/28 21:56:29.030, 0, 88855, 97887, 90, 353.13, 58
2026/06/28 21:56:29.030, 1, 16296, 97887, 5, 198.76, 47
2026/06/28 21:56:29.530, 0, 88855, 97887, 88, 350.85, 58
2026/06/28 21:56:29.530, 1, 16296, 97887, 71, 224.70, 48
2026/06/28 21:56:30.030, 0, 88855, 97887, 92, 354.43, 58
2026/06/28 21:56:30.031, 1, 16296, 97887, 29, 229.75, 46
2026/06/28 21:56:30.531, 0, 88855, 97887, 88, 353.01, 57
2026/06/28 21:56:30.531, 1, 16296, 97887, 0, 153.71, 44
2026/06/28 21:56:31.031, 0, 88855, 97887, 87, 352.89, 58
2026/06/28 21:56:31.031, 1, 16296, 97887, 23, 153.41, 46
2026/06/28 21:56:31.531, 0, 88855, 97887, 91, 354.61, 58
2026/06/28 21:56:31.531, 1, 16296, 97887, 33, 152.35, 46
2026/06/28 21:56:32.031, 0, 88855, 97887, 87, 350.29, 58
2026/06/28 21:56:32.031, 1, 16296, 97887, 0, 120.53, 44
2026/06/28 21:56:32.531, 0, 88855, 97887, 91, 349.00, 58
2026/06/28 21:56:32.532, 1, 16296, 97887, 0, 120.16, 44
2026/06/28 21:56:33.032, 0, 88855, 97887, 90, 356.12, 58
2026/06/28 21:56:33.032, 1, 16296, 97887, 1, 110.45, 43
2026/06/28 21:56:33.532, 0, 88855, 97887, 90, 354.46, 58
2026/06/28 21:56:33.532, 1, 16296, 97887, 15, 108.89, 44
2026/06/28 21:56:34.032, 0, 88855, 97887, 91, 348.79, 58
2026/06/28 21:56:34.032, 1, 16296, 97887, 0, 95.42, 45
2026/06/28 21:56:34.532, 0, 88855, 97887, 90, 349.57, 58
2026/06/28 21:56:34.532, 1, 16296, 97887, 15, 96.55, 44
2026/06/28 21:56:35.033, 0, 88855, 97887, 90, 350.79, 58
2026/06/28 21:56:35.033, 1, 16296, 97887, 42, 160.32, 46
2026/06/28 21:56:35.533, 0, 88855, 97887, 89, 344.58, 58
2026/06/28 21:56:35.533, 1, 16296, 97887, 0, 153.06, 43
2026/06/28 21:56:36.033, 0, 88855, 97887, 91, 350.74, 58
2026/06/28 21:56:36.033, 1, 16296, 97887, 0, 98.71, 43
2026/06/28 21:56:36.533, 0, 88855, 97887, 92, 355.38, 58
2026/06/28 21:56:36.533, 1, 16296, 97887, 0, 98.71, 43
2026/06/28 21:56:37.033, 0, 88855, 97887, 91, 352.64, 58
2026/06/28 21:56:37.033, 1, 16296, 97887, 0, 99.56, 46
2026/06/28 21:56:37.534, 0, 88855, 97887, 91, 355.07, 58
2026/06/28 21:56:37.534, 1, 16296, 97887, 32, 128.55, 46
2026/06/28 21:56:38.034, 0, 88855, 97887, 90, 357.25, 58
2026/06/28 21:56:38.034, 1, 16296, 97887, 0, 152.83, 43
2026/06/28 21:56:38.534, 0, 88855, 97887, 90, 356.24, 58
2026/06/28 21:56:38.534, 1, 16296, 97887, 61, 138.10, 47
2026/06/28 21:56:39.034, 0, 88855, 97887, 80, 357.84, 58
2026/06/28 21:56:39.034, 1, 16296, 97887, 62, 220.71, 49
2026/06/28 21:56:39.535, 0, 88855, 97887, 88, 358.02, 58
2026/06/28 21:56:39.535, 1, 16296, 97887, 20, 204.00, 45
2026/06/28 21:56:40.035, 0, 88855, 97887, 89, 355.71, 58
2026/06/28 21:56:40.035, 1, 16296, 97887, 13, 167.86, 44
2026/06/28 21:56:40.535, 0, 88855, 97887, 89, 356.58, 58
2026/06/28 21:56:40.535, 1, 16296, 97887, 77, 207.43, 48
2026/06/28 21:56:41.035, 0, 88855, 97887, 91, 358.80, 59
2026/06/28 21:56:41.036, 1, 16296, 97887, 21, 165.51, 46
2026/06/28 21:56:41.536, 0, 88855, 97887, 88, 355.96, 58
2026/06/28 21:56:41.536, 1, 16296, 97887, 75, 215.29, 49
2026/06/28 21:56:42.036, 0, 88855, 97887, 91, 357.61, 59
2026/06/28 21:56:42.036, 1, 16296, 97887, 0, 195.99, 44
2026/06/28 21:56:42.536, 0, 88855, 97887, 90, 359.64, 59
2026/06/28 21:56:42.536, 1, 16296, 97887, 77, 163.90, 50
2026/06/28 21:56:43.036, 0, 88855, 97887, 90, 365.03, 59
2026/06/28 21:56:43.037, 1, 16296, 97887, 70, 224.32, 47
2026/06/28 21:56:43.537, 0, 88855, 97887, 90, 364.88, 59
2026/06/28 21:56:43.537, 1, 16296, 97887, 71, 241.46, 50
2026/06/28 21:56:44.037, 0, 88855, 97887, 87, 364.20, 59
2026/06/28 21:56:44.037, 1, 16296, 97887, 76, 220.85, 47
2026/06/28 21:56:44.537, 0, 88855, 97887, 100, 378.33, 59
2026/06/28 21:56:44.537, 1, 16296, 97887, 62, 225.41, 47
2026/06/28 21:56:45.038, 0, 88855, 97887, 100, 388.02, 59
2026/06/28 21:56:45.038, 1, 16296, 97887, 67, 264.99, 50
2026/06/28 21:56:45.538, 0, 88855, 97887, 100, 383.31, 59
2026/06/28 21:56:45.538, 1, 16296, 97887, 80, 278.36, 49
