campana,maquina,motor,celda,repeticion,origen,gpu,instante,utilizacion_pct,memoria_mib,potencia_w,temperatura_c
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:19.349,0,10161,100.62,43
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:20.349,91,30937,341.2,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:20.349,0,10161,95.93,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:21.349,76,30937,304.45,56
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:21.350,0,10161,96.16,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:22.350,88,30937,359.17,59
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:22.350,0,10161,125.36,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:23.350,90,30937,379.63,62
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:23.350,0,10161,145.58,43
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:24.350,90,30937,393.82,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:24.350,42,10161,97.94,44
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:25.350,93,30937,332.42,58
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:25.350,0,10161,97.94,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:26.350,82,30937,326.2,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:26.350,0,10161,95.94,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:27.351,93,30937,315.84,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:27.351,0,10161,110.83,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:28.351,93,30937,328.43,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:28.351,0,10161,95.8,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:29.351,88,30937,315.81,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:29.351,0,10161,95.83,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:30.351,32,30937,120.3,53
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:30.351,0,10161,146.21,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:31.351,84,30937,283.76,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:31.351,8,10161,101.58,44
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:32.351,84,30937,310.69,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:32.352,47,10161,210.25,44
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:33.352,87,30937,314.66,58
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:33.352,61,10161,232.14,50
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:34.352,85,30937,294.74,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:34.352,0,10161,163.39,44
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:35.352,67,30937,299.18,58
